admet_filtered_rank,drug_name,im4c_protocol_tier,evidence_agent_final_tier,evidence_grade,approved_any_indication,approved_crc_indication,crc_clinical_evidence,crc_preclinical_evidence,target,target_pathway,admet_verdict,admet_adjusted_score,im4c_best_match_score,tier_change,evidence_rationale,source_keys,source_urls,review_status
1,MG-132,Tier3,Tier3,preclinical_crc,False,False,False,True,"Proteasome, CAPN1",Protein stability and degradation,PASS,0.9860544217687076,5,unchanged,"Not an approved drug, but MG-132/proteasome inhibition has colon-cancer cell-line evidence.",mg132_colon_pubmed,https://pubmed.ncbi.nlm.nih.gov/18414391/,evidence_agent_reviewed_needs_human_clinical_signoff
2,PD0325901,Tier2,Tier3,crc_clinical_investigational,False,False,True,True,"MEK1, MEK2",ERK MAPK signaling,PASS,0.960374149659864,6,Tier2 -> Tier3,Investigational MEK inhibitor with CRC clinical study evidence; not FDA-approved as a marketed drug.,pd0325901_crc_trial;pd0325901_crc_pmc;pd0325901_crc_preclinical,https://clinicaltrials.gov/study/NCT02510001;https://pmc.ncbi.nlm.nih.gov/articles/PMC7156736/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4234626/,evidence_agent_reviewed_needs_human_clinical_signoff
3,Irinotecan,Tier1,Tier1,crc_approved,True,True,True,True,TOP1,DNA replication,PASS,0.9470748299319728,8,unchanged,FDA/NCI-listed colorectal cancer therapy; label includes metastatic carcinoma of colon or rectum.,nci_crc_drugs;irinotecan_label,https://www.cancer.gov/about-cancer/treatment/drugs/colorectal;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7a30d551-9ea7-47ea-9073-f541bff457a3,evidence_agent_reviewed_needs_human_clinical_signoff
4,BI-2536,Tier4,Tier4,weak_non_crc_solid_tumor,False,False,False,False,"PLK1, PLK2, PLK3",Cell cycle,PASS,0.9412925170068028,1,unchanged,"Investigational PLK1 inhibitor with advanced solid-tumor trials, but no strong drug-specific CRC evidence found in this pass.",bi2536_phase1;bi2536_pancreas_pmc,https://pubmed.ncbi.nlm.nih.gov/18955456/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3394983/,evidence_agent_reviewed_needs_human_clinical_signoff
5,CCT-018159,Tier3,Tier3,target_pathway_crc_preclinical,False,False,False,True,HSP90,Protein stability and degradation,PASS,0.9253401360544218,4,unchanged,HSP90 inhibition has CRC cell-line sensitization evidence; CCT-018159 remains investigational.,hsp90_crc_pubmed,https://pubmed.ncbi.nlm.nih.gov/25296971/,evidence_agent_reviewed_needs_human_clinical_signoff
6,YK-4-279,Tier4,Tier4,insufficient_crc_evidence,False,False,False,False,RNA helicase A,Other,PASS,0.9071428571428573,1,unchanged,No sufficient CRC-specific clinical or preclinical treatment evidence found in this pass.,,,evidence_agent_reviewed_needs_human_clinical_signoff
7,Avagacestat,Tier4,Tier4,class_relevance_not_drug_specific,False,False,False,False,"Amyloid beta20, Amyloid beta40",Other,PASS,0.8873809523809524,1,unchanged,"Gamma-secretase/Notch class has CRC relevance, but available CRC clinical evidence is for another GSI rather than avagacestat.",avagacestat_gsi_review;ro4929097_crc_pmc,https://pubmed.ncbi.nlm.nih.gov/33284507/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4522922/,evidence_agent_reviewed_needs_human_clinical_signoff
8,Trametinib,Tier2,Tier2,approved_other_crc_research,True,False,True,True,"MEK1, MEK2",ERK MAPK signaling,PASS,0.8724149659863946,6,unchanged,FDA-approved for other BRAF-mutant cancers; CRC case/research evidence exists for MEK/ERK-pathway use but not CRC approval.,trametinib_nci;trametinib_ulixertinib_crc_case,https://www.cancer.gov/about-cancer/treatment/drugs/trametinib;https://pmc.ncbi.nlm.nih.gov/articles/PMC6954994/,evidence_agent_reviewed_needs_human_clinical_signoff
9,Fulvestrant,Tier4,Tier4,approved_other_but_crc_drug_evidence_insufficient,True,False,False,False,ESR,Hormone-related,PASS,0.8545238095238097,1,unchanged,"Approved in breast cancer settings; CRC evidence found here is biomarker-level ESR1 relevance, not fulvestrant treatment evidence.",fulvestrant_fda;esr1_crc_pubmed,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-capivasertib-fulvestrant-breast-cancer;https://pubmed.ncbi.nlm.nih.gov/32266127/,evidence_agent_reviewed_needs_human_clinical_signoff
10,Schweinfurthin A,Tier4,Tier4,insufficient_crc_evidence,False,False,False,False,,Unclassified,PASS,0.8189795918367349,1,unchanged,No sufficient CRC-specific clinical or preclinical treatment evidence found in this pass.,,,evidence_agent_reviewed_needs_human_clinical_signoff
11,Mycophenolic acid,Tier4,Tier4,approved_other_with_negative_crc_signal,True,False,False,False,,Unclassified,PASS,0.8120748299319727,1,unchanged,Mycophenolate products are approved for transplant rejection prophylaxis; colorectal carcinoma-cell evidence suggests resistance/inactivation rather than a clear repurposing signal.,mycophenolate_label;mycophenolic_crc_pubmed,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s049s051%2C050723s049s051%2C050758s047s049%2C050759s054s056lbl.pdf;https://pubmed.ncbi.nlm.nih.gov/8640790/,evidence_agent_reviewed_needs_human_clinical_signoff
12,Gemcitabine,Tier3,Tier2,approved_other_crc_clinical_research,True,False,True,True,Pyrimidine antimetabolite,DNA replication,PASS,0.8020408163265307,5,Tier3 -> Tier2,"FDA-approved for other cancers and has rectal/metastatic colorectal clinical-study evidence, but not listed as CRC-approved therapy.",gemcitabine_nci;gemcitabine_rectal_phase2;gemcitabine_mcrc,https://www.cancer.gov/about-cancer/treatment/drugs/gemcitabinehydrochloride;https://pubmed.ncbi.nlm.nih.gov/35146939/;https://pubmed.ncbi.nlm.nih.gov/26885049/,evidence_agent_reviewed_needs_human_clinical_signoff
