target_text,normalized_target_text,exclusion_reason,mentions,source_breakdown,diseases,example_source_files,notes
DNA replication,dna replication,non_protein_mechanism,101,candidate_pathway:28;evidence_pathway:73,BRCA|Colon|HNSC|LUNG|Liver|PDAC|STAD,BRCA_drug_linkage.csv|Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv|LUNG_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
nan,nan,placeholder,78,evidence_target:78,PDAC|Psoriasis,PDAC_drug_linkage.csv|Psoriasis_drug_linkage.csv,placeholder/free value; do not map to AlphaFold
Mitosis,mitosis,non_protein_mechanism,59,candidate_pathway:15;evidence_pathway:44,Colon|HNSC|LUNG|Liver|PDAC|STAD,Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv|LUNG_drug_linkage.csv|Liver_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
PI3K/MTOR signaling,pi3k/mtor signaling,pathway_or_free_text,50,candidate_pathway:17;evidence_pathway:33,BRCA|Colon|HNSC|Liver|PDAC|STAD,BRCA_drug_linkage.csv|Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv|Liver_final_admet.csv,pathway/free-text term; requires upstream parsing before protein mapping
Microtubule stabiliser,microtubule stabiliser,non_protein_mechanism,21,candidate_target:5;evidence_target:16,Colon|HNSC|LUNG|STAD,Colon_drug_linkage.md|HNSC_final_admet.csv|LUNG_drug_linkage.csv|LUNG_final_admet.csv|STAD_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
Protein stability and degradation,protein stability and degradation,pathway_or_free_text,21,candidate_pathway:15;evidence_pathway:6,Colon|HNSC|Liver|PDAC|STAD,Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv|Liver_final_admet.csv|PDAC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
Microtubule destabiliser,microtubule destabiliser,non_protein_mechanism,18,candidate_target:6;evidence_target:12,Colon|Liver|STAD,Colon_drug_linkage.md|Colon_final_admet.csv|Liver_final_admet.csv|STAD_drug_linkage.csv|STAD_final_admet.csv,"drug class, pathway, or biological process, not a single protein"
Other,other,placeholder,17,candidate_pathway:6;evidence_pathway:11,LUNG|PDAC|STAD,LUNG_drug_linkage.csv|PDAC_drug_linkage.csv|PDAC_final_admet.csv|STAD_final_admet.csv,placeholder/free value; do not map to AlphaFold
Cell cycle,cell cycle,non_protein_mechanism,15,candidate_pathway:8;evidence_pathway:7,BRCA|HNSC|PDAC|STAD,BRCA_drug_linkage.csv|HNSC_final_admet.csv|PDAC_drug_linkage.csv|PDAC_final_admet.csv|STAD_final_admet.csv,"drug class, pathway, or biological process, not a single protein"
ERK MAPK signaling,erk mapk signaling,pathway_or_free_text,14,candidate_pathway:4;evidence_pathway:10,Colon|HNSC|PDAC,Colon_drug_linkage.md|Colon_final_admet.csv|HNSC_final_admet.csv|PDAC_drug_linkage.csv|PDAC_final_admet.csv,pathway/free-text term; requires upstream parsing before protein mapping
JAK/STAT inflammatory axis,jak/stat inflammatory axis,pathway_or_free_text,14,evidence_target:14,RA,RA_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
dsDNA break induction,dsdna break induction,non_protein_mechanism,13,candidate_target:4;evidence_target:9,LUNG|Liver|STAD,LUNG_drug_linkage.csv|Liver_final_admet.csv|STAD_drug_linkage.csv|STAD_final_admet.csv,"drug class, pathway, or biological process, not a single protein"
B-cell / BTK axis,b-cell / btk axis,pathway_or_free_text,10,evidence_target:10,RA,RA_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
Antimetabolite,antimetabolite,non_protein_mechanism,9,candidate_target:2;evidence_target:7,BRCA|HNSC|LUNG,BRCA_drug_linkage.csv|HNSC_final_admet.csv|LUNG_drug_linkage.csv|LUNG_final_admet.csv,"drug class, pathway, or biological process, not a single protein"
DNA alkylating agent,dna alkylating agent,non_protein_mechanism,8,evidence_target:8,BRCA,BRCA_drug_linkage.csv,"drug class, pathway, or biological process, not a single protein"
TOP1 TOP1 DNA replication TOP1,top1 top1 dna replication top1,pathway_or_free_text,8,evidence_target:8,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
Anthracycline,anthracycline,non_protein_mechanism,7,candidate_target:2;evidence_target:5,Colon|HNSC|STAD,Colon_drug_linkage.md|HNSC_final_admet.csv|STAD_drug_linkage.csv|STAD_final_admet.csv,"drug class, pathway, or biological process, not a single protein"
Endothelin + NO/PDE5 pathway,endothelin + no/pde5 pathway,pathway_or_free_text,7,evidence_pathway:7,PAH,PAH_drug_linkage.md,pathway/free-text term; requires upstream parsing before protein mapping
"Other, kinases","other, kinases",placeholder,7,candidate_pathway:7,HNSC|Liver|STAD,HNSC_final_admet.csv|Liver_final_admet.csv|STAD_final_admet.csv,placeholder/free value; do not map to AlphaFold
RTK signaling,rtk signaling,pathway_or_free_text,7,candidate_pathway:5;evidence_pathway:2,Colon|HNSC|Liver|PDAC|STAD,Colon_final_admet.csv|HNSC_final_admet.csv|Liver_final_admet.csv|PDAC_drug_linkage.csv|PDAC_final_admet.csv,pathway/free-text term; requires upstream parsing before protein mapping
Apoptosis regulation,apoptosis regulation,free_text_or_mechanism,6,candidate_pathway:6,Colon|HNSC|STAD,Colon_final_admet.csv|HNSC_final_admet.csv|STAD_final_admet.csv,not safe for direct protein structure mapping
ECM remodeling and angiogenesis,ecm remodeling and angiogenesis,pathway_or_free_text,6,evidence_pathway:6,IPF,IPF_drug_linkage.md,pathway/free-text term; requires upstream parsing before protein mapping
Other kinases,other kinases,free_text_or_mechanism,6,candidate_pathway:2;evidence_pathway:4,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,not safe for direct protein structure mapping
RA inflammatory kinase axis,ra inflammatory kinase axis,pathway_or_free_text,6,evidence_target:6,RA,RA_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
Genome integrity,genome integrity,free_text_or_mechanism,5,candidate_pathway:1;evidence_pathway:4,BRCA|HNSC,BRCA_drug_linkage.csv|HNSC_final_admet.csv,not safe for direct protein structure mapping
RNA polymerase,rna polymerase,free_text_or_mechanism,5,candidate_target:2;evidence_target:3,LUNG|STAD,LUNG_drug_linkage.csv|LUNG_final_admet.csv|STAD_final_admet.csv,not safe for direct protein structure mapping
"CDK4|CDK6 CDK4, CDK6 Cell cycle CDK4|CDK6","cdk4|cdk6 cdk4, cdk6 cell cycle cdk4|cdk6",pathway_or_free_text,4,evidence_target:4,HNSC,HNSC_drug_linkage.csv,pathway/free-text term; requires upstream parsing before protein mapping
