admet_filtered_rank,drug_name,im4c_protocol_tier,evidence_agent_final_tier,evidence_grade,approved_any_indication,approved_lung_indication,lung_clinical_evidence,lung_preclinical_evidence,target,target_pathway,admet_verdict,admet_adjusted_score,im4c_best_match_score,tier_change,evidence_rationale,source_keys,source_urls,review_status
1,Docetaxel,Tier1,Tier1,current_lung_reference_or_standard_context,,,,,Microtubule stabiliser,Mitosis,PASS,0.625,5,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
2,Paclitaxel,Tier1,Tier1,current_lung_reference_or_standard_context,,,,,Microtubule stabiliser,Mitosis,PASS,0.5583333333333333,5,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
3,Dactinomycin,Tier3,Tier3,repurposing_or_research_candidate,,,,,RNA polymerase,Other,PASS,0.55,2,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
4,Entinostat,Tier2,Tier2,approved_other_or_lung_research_context,,,,,"HDAC1, HDAC3",Chromatin histone acetylation,PASS,0.3650122025985619,1,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
5,Venetoclax,Tier2,Tier2,approved_other_or_lung_research_context,,,,,BCL2,Apoptosis regulation,PASS,0.3296907437737568,1,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
6,Tanespimycin,Tier2,Tier2,approved_other_or_lung_research_context,,,,,HSP90,Protein stability and degradation,PASS,0.3269999999999999,1,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
7,Bortezomib,Tier2,Tier2,approved_other_or_lung_research_context,,,,,Proteasome,Protein stability and degradation,PASS,0.290391304347826,1,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
8,Savolitinib,Tier1,Tier1,current_lung_reference_or_standard_context,,,,,MET,RTK signaling,PASS,0.2697973204950822,3,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
9,EPZ004777,Tier4,Tier4,insufficient_or_low_priority_for_repositioning,,,,,DOT1L,Chromatin histone methylation,PASS,0.2668557667323745,0,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
10,Methotrexate,Tier3,Tier3,repurposing_or_research_candidate,,,,,Antimetabolite,DNA replication,PASS,0.257,1,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
11,Buparlisib,Tier4,Tier4,insufficient_or_low_priority_for_repositioning,,,,,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,PASS,0.2545294117647058,0,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
12,Teniposide,Tier3,Tier3,repurposing_or_research_candidate,,,,,,DNA replication,PASS,0.23,1,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
13,IOX2,Tier4,Tier4,insufficient_or_low_priority_for_repositioning,,,,,EGLN1,Other,PASS,0.2151956230203704,0,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
14,Pictilisib,Tier4,Tier4,insufficient_or_low_priority_for_repositioning,,,,,PI3K (class 1),PI3K/MTOR signaling,PASS,0.2091428571428571,0,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
15,BI-2536,Tier4,Tier4,insufficient_or_low_priority_for_repositioning,,,,,"PLK1, PLK2, PLK3",Cell cycle,PASS,0.1998677874522688,0,unchanged,Carried forward from existing LUAD 4-tier protocol for the first GCS SDK orchestration test; requires refreshed FDA/NCI/ClinicalTrials/PubMed verification before final clinical interpretation.,,,evidence_agent_scaffold_needs_human_clinical_signoff
