Drug,ChEMBL_ID,Target,MoA,Tier,ADMET_Status,Model_Rank,Cluster,Cluster_Label,PAH_Interpretation,Dominant_Pathway,PAH_Rationale,Limitations
VARDENAFIL,CHEMBL1520,PDE5,PDE5 inhibitor,Tier1,Pass_With_Flags,17,0,Early Vascular Remodeling,Preserved lung function with rapid decline risk,Endothelin + NO/PDE5 pathway,VARDENAFIL fits Cluster 0 because PAH patients with preserved lung function but decline risk may benefit from early vasodilatory and anti-endothelin pathway hypotheses.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
SILDENAFIL,CHEMBL192,PDE5,PDE5 inhibitor,Tier1,Pass_With_Flags,480,0,Early Vascular Remodeling,Preserved lung function with rapid decline risk,Endothelin + NO/PDE5 pathway,SILDENAFIL fits Cluster 0 because PAH patients with preserved lung function but decline risk may benefit from early vasodilatory and anti-endothelin pathway hypotheses.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
EPOPROSTENOL,CHEMBL910,PDE5,Prostacyclin analog,Tier1,Pass_With_Flags,1301,1,Advanced Vascular Disease,Lower lung function with structural remodeling,Prostacyclin + advanced anti-remodeling,EPOPROSTENOL fits Cluster 1 because advanced structural disease hypotheses emphasize prostacyclin support or stronger anti-remodeling/endothelin blockade.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
ILOPROST,CHEMBL494,IP_receptor,Prostacyclin analog,Tier1,Pass_With_Flags,1516,1,Advanced Vascular Disease,Lower lung function with structural remodeling,Prostacyclin + advanced anti-remodeling,ILOPROST fits Cluster 1 because advanced structural disease hypotheses emphasize prostacyclin support or stronger anti-remodeling/endothelin blockade.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
AMBRISENTAN,CHEMBL1111,ETA,Endothelin receptor antagonist,Tier1,Pass_With_Flags,1864,0,Early Vascular Remodeling,Preserved lung function with rapid decline risk,Endothelin + NO/PDE5 pathway,AMBRISENTAN fits Cluster 0 because PAH patients with preserved lung function but decline risk may benefit from early vasodilatory and anti-endothelin pathway hypotheses.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
MACITENTAN,CHEMBL2103873,ETA,Endothelin receptor antagonist,Tier1,Pass_With_Flags,1883,0,Early Vascular Remodeling,Preserved lung function with rapid decline risk,Endothelin + NO/PDE5 pathway,MACITENTAN fits Cluster 0 because PAH patients with preserved lung function but decline risk may benefit from early vasodilatory and anti-endothelin pathway hypotheses.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
SELEXIPAG,CHEMBL238804,IP_receptor,IP receptor agonist,Tier1,Pass_With_Flags,3014,1,Advanced Vascular Disease,Lower lung function with structural remodeling,Prostacyclin + advanced anti-remodeling,SELEXIPAG fits Cluster 1 because advanced structural disease hypotheses emphasize prostacyclin support or stronger anti-remodeling/endothelin blockade.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
TADALAFIL,CHEMBL779,PDE5,PDE5 inhibitor,Tier1,Clinical_Context_Hard_Fail,552,0,Early Vascular Remodeling,Preserved lung function with rapid decline risk,Endothelin + NO/PDE5 pathway,TADALAFIL fits Cluster 0 because PAH patients with preserved lung function but decline risk may benefit from early vasodilatory and anti-endothelin pathway hypotheses.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
BOSENTAN,CHEMBL957,ETA,Endothelin receptor antagonist,Tier1,Clinical_Context_Hard_Fail,2193,0,Early Vascular Remodeling,Preserved lung function with rapid decline risk,Endothelin + NO/PDE5 pathway,BOSENTAN fits Cluster 0 because PAH patients with preserved lung function but decline risk may benefit from early vasodilatory and anti-endothelin pathway hypotheses.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
ATRASENTAN,CHEMBL9194,ETA,Endothelin receptor antagonist,Tier2,Clinical_Context_Hard_Fail,614,1,Advanced Vascular Disease,Lower lung function with structural remodeling,Prostacyclin + advanced anti-remodeling,ATRASENTAN fits Cluster 1 because advanced structural disease hypotheses emphasize prostacyclin support or stronger anti-remodeling/endothelin blockade.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
unnamed lead (CHEMBL304460),CHEMBL304460,ETA,Endothelin receptor axis,Tier4,Pass_With_Flags,20,0,Early Vascular Remodeling,Preserved lung function with rapid decline risk,Endothelin + NO/PDE5 pathway,unnamed lead (CHEMBL304460) fits Cluster 0 because PAH patients with preserved lung function but decline risk may benefit from early vasodilatory and anti-endothelin pathway hypotheses.,MoA-based hypothesis only; OSIC CT patients are not PAH GEO patients and PAH drug response is not directly measured.
